"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"ARM","fish-dominant","regular","wheat","Wheat",15,0.00991947288221144,0.00991947288221144,0.00991947288221144
"ARM","fish-dominant","regular","wheat gluten","Wheat",15,0.0184218782098212,0.0205258433673751,0.0470596466893383
"ARM","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.0267228916439518,0.0543440611183262,0.0963043827931866
"ARM","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,0.000000161960913958372,0.000000203912897823952,0.0000000857074486608758
"ARM","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.0174605021783998,0.0174605021783998,0.0174605021783998
"ARM","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,0.0208555998241997,0.0222214031390901,0.0093490619901585
"ARM","plant-dominant","efficient","linseed oil","Linseed",333,0.355819351162195,0.574059829408918,0.521236579789656
"ARM","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,0.0142651161588233,0.0142651161588233,0.0142651161588233
"ARM","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,0.0081809581826505,0.0101520796615528,0.0175233672584394
"ARM","plant-dominant","efficient","sunflower meal","Sunflower seed",267,0.00335948545459553,0.00180077333080219,0.00139346828386875
"ARM","plant-dominant","efficient","wheat","Wheat",15,0.00708533777300817,0.00708533777300817,0.00708533777300817
"ARM","plant-dominant","efficient","wheat gluten","Wheat",15,0.0106825092577662,0.011902560059188,0.0272890258908589
"ARM","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.0347366842648848,0.0706410263488887,0.125184616357514
"ARM","plant-dominant","regular","corn gluten meal","Maize (corn)",56,0.000000210549188145883,0.000000265086767171138,0.000000111419683259139
"ARM","plant-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.0214158340363494,0.0214158340363494,0.0214158340363494
"ARM","plant-dominant","regular","guar meal","Other pulses n.e.c.",211,0.0255800239878617,0.0272552230639899,0.0114669073049035
"ARM","plant-dominant","regular","linseed oil","Linseed",333,0.462524214120921,0.746211723978773,0.677547577586336
"ARM","plant-dominant","regular","pea flour","Peas, dry; Peas, green",187,0.017496596434926,0.017496596434926,0.017496596434926
"ARM","plant-dominant","regular","pea protein concentrate","Peas, dry; Peas, green",187,0.0100341926542467,0.012451832767134,0.0214929399584503
"ARM","plant-dominant","regular","sunflower meal","Sunflower seed",267,0.00436733109097419,0.00234100533004284,0.00181150876902938
"ARM","plant-dominant","regular","wheat","Wheat",15,0.00921093910491062,0.00921093910491062,0.00921093910491062
"ARM","plant-dominant","regular","wheat gluten","Wheat",15,0.013887262035096,0.0154733280769443,0.0354757336581166
"ATG","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,0.0010800040916397,0.00135975253908841,0.000571523048218513
"ATG","fish-dominant","regular","corn gluten meal","Maize (corn)",56,0.0014040053191316,0.00176767830081493,0.000742979962684066
"ATG","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.000185641308131298,0.000377522864276426,0.000669017104836808
"ATG","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,0.000189000716036947,0.000237956694340472,0.00010001653343824
"ATG","plant-dominant","efficient","linseed oil","Linseed",333,0.00247184214523916,0.00398793734963263,0.00362097941372806
"ATG","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.000222812353601238,0.00045311444297849,0.00080297471090188
"ATG","plant-dominant","regular","corn gluten meal","Maize (corn)",56,0.000245700930848031,0.000309343702642613,0.000130021493469712
"ATG","plant-dominant","regular","linseed oil","Linseed",333,0.002966780247648,0.00478644389996153,0.00434600980587661
"AUS","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,1767.50092755795,2225.32848967191,935.336750727771
"AUS","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,1437.214161459,1437.214161459,1437.214161459
"AUS","fish-dominant","efficient","wheat","Wheat",15,3871.90779586885,3871.90779586885,3871.90779586885
