"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"ARG","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,4296.88749796107,5409.89032426649,2273.85271935248
"ARG","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,15573.9886845101,15573.9886845101,15573.9886845101
"ARG","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,18602.2642620537,19820.4998634148,8338.94604850683
"ARG","plant-dominant","efficient","linseed oil","Linseed",333,56.5526460288734,91.2390015492989,82.8434645217153
"ARG","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,12723.846964469,12723.846964469,12723.846964469
"ARG","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,7297.04958444247,9055.20197287697,15630.0615302498
"ARG","plant-dominant","efficient","soy oil","Soya beans",236,2239.54178840166,3795.63135667134,3703.51375560038
"ARG","plant-dominant","efficient","soy protein concentrate","Soya beans",236,141627.748318226,122112.322708252,124330.330266701
"ARG","plant-dominant","efficient","sunflower meal","Sunflower seed",267,25203.4005972722,13509.6913662798,10454.0233475028
"ARG","plant-dominant","efficient","wheat","Wheat",15,9502.46411527687,9502.46411527687,9502.46411527687
"ARG","plant-dominant","efficient","wheat gluten","Wheat",15,14326.7920507251,15963.0568740468,36598.5359592325
"ARG","plant-dominant","regular","coconut oil","Coconuts, in shell",249,4.71915571474441,9.59694369928011,17.006968574685
"ARG","plant-dominant","regular","corn gluten meal","Maize (corn)",56,4774.31944217896,6010.98924918499,2526.50302150276
"ARG","plant-dominant","regular","faba beans","Broad beans and horse beans, dry",181,17304.4318716779,17304.4318716779,17304.4318716779
"ARG","plant-dominant","regular","guar meal","Other pulses n.e.c.",211,20669.182513393,22022.7776260164,9265.49560945203
"ARG","plant-dominant","regular","linseed oil","Linseed",333,62.8362733654149,101.37666838811,92.048293913017
"ARG","plant-dominant","regular","pea flour","Peas, dry; Peas, green",187,14137.6077382989,14137.6077382989,14137.6077382989
"ARG","plant-dominant","regular","pea protein concentrate","Peas, dry; Peas, green",187,8107.83287160274,10061.3355254189,17366.7350336109
