iso3c,diet,animal_system,SPAM_super,product,tonnes_product
NOR,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
NOR,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,36099.27984
NOR,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
NOR,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
NOR,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
NOR,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,8595.066628571429
NOR,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,15041.3666
NOR,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,7443.150482474228
NOR,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,428678.9480999999
NOR,plant-dominant,salmon_aquaculture_meat,whea,wheat,117322.65948
NOR,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,178673.20324848488
NOR,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,69737.24514545455
NOR,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,23943.39989387755
NOR,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,338891.1984979592
NOR,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,64978.703712
NOR,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,88197.10415454546
NOR,plant-dominant,salmon_aquaculture_meat,xpul,pea other,51277.38613636364
NOR,plant-dominant,salmon_aquaculture_meat,xpul,pea protein,28715.336236363637
PRK,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
PRK,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,3.7142857142857144
PRK,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
PRK,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
PRK,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,15.06818181818182
PRK,fish-dominant,salmon_aquaculture_meat,whea,wheat,5.460000000000001
PRK,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,10.242424242424242
PRK,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
PRK,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
PRK,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
PRK,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,1.56
PRK,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
PRK,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
PRK,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
PRK,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0.37142857142857144
PRK,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,0.65
PRK,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0.32164948453608244
PRK,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,18.525000000000002
PRK,plant-dominant,salmon_aquaculture_meat,whea,wheat,5.07
PRK,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,7.721212121212121
PRK,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,3.0136363636363637
PRK,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,1.0346938775510204
PRK,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,14.644897959183673
PRK,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,2.8079999999999994
PRK,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,3.811363636363636
PRK,plant-dominant,salmon_aquaculture_meat,xpul,pea other,2.215909090909091
PRK,plant-dominant,salmon_aquaculture_meat,xpul,pea protein,1.240909090909091
RUS,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
RUS,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,671.9761904761905
RUS,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
RUS,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
RUS,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,2726.0852272727275
RUS,fish-dominant,salmon_aquaculture_meat,whea,wheat,987.805
RUS,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,1853.0252525252524
RUS,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
RUS,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
RUS,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
RUS,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,282.23
RUS,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
RUS,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
RUS,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
RUS,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,67.19761904761904
RUS,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,117.59583333333335
RUS,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,58.19175257731958
RUS,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,3351.48125
RUS,plant-dominant,salmon_aquaculture_meat,whea,wheat,917.2475
RUS,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,1396.8959595959593
RUS,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,545.2170454545455
