"iso3c_consuming","iso3c_producing","GAEZ_category","prop_of_supply","animal_system","diet","source_ingredient","consuming_ingredient_consumed_tonnes","raw_material","FAOSTAT_name","FAO_code","map_spam_code","producing_ingredient_consumed_tonnes"
"AUS","MMR","Pulses",0.00445700324026515,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,"opul",17.9550067911718
"AUS","MMR","Pulses",0.00445700324026515,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,"opul",10.4389574367278
"AUS","MMR","Pulses",0.00445700324026515,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,"opul",5.84581616456756
"AUS","MMR","Pulses",0.00445700324026515,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,"opul",8.35116594938223
"AUS","MMR","Pulses",0.00445700324026515,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,"opul",0
"AUS","MMR","Pulses",0.00445700324026515,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","MMR","Pulses",0.00445700324026515,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","CAN","CropsNES",0.00198654741294688,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.186111454462936
"AUS","CAN","CropsNES",0.00198654741294688,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",2.41944890801817
"AUS","CAN","CropsNES",0.00198654741294688,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","CAN","CropsNES",0.00198654741294688,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","CAN","Pulses",0.00938423159052318,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,"opul",31.6501218355447
"AUS","CAN","Pulses",0.00938423159052318,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,"opul",37.8043121924562
"AUS","CAN","Pulses",0.00938423159052318,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,"opul",21.9792512746838
"AUS","CAN","Pulses",0.00938423159052318,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,"opul",12.3083807138229
"AUS","CAN","Pulses",0.00938423159052318,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,"opul",17.5834010197471
"AUS","CAN","Pulses",0.00938423159052318,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,"opul",0
"AUS","CAN","Pulses",0.00938423159052318,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","CAN","Pulses",0.00938423159052318,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","CAN","Rapeseed",0.000020787315413836,"salmon_aquaculture_meat","plant-dominant","canola oil",17238.203024,"rapeseed","Rape or colza seed",270,"rape",0.358335963427629
"AUS","CAN","Rapeseed",0.000020787315413836,"salmon_aquaculture_meat","fish-dominant","canola oil",0,"rapeseed","Rape or colza seed",270,"rape",0
"AUS","CAN","Soybean",0.175580530143697,"salmon_aquaculture_meat","plant-dominant","soy oil",374.743544,"soybean","Soya beans",236,"soyb",65.7976701234479
"AUS","CAN","Soybean",0.175580530143697,"salmon_aquaculture_meat","plant-dominant","soy protein concentrate",19580.350174,"soybean","Soya beans",236,"soyb",3437.92826395015
"AUS","CAN","Soybean",0.175580530143697,"salmon_aquaculture_meat","fish-dominant","soy oil",0,"soybean","Soya beans",236,"soyb",0
"AUS","CAN","Soybean",0.175580530143697,"salmon_aquaculture_meat","fish-dominant","soy protein concentrate",0,"soybean","Soya beans",236,"soyb",0
"AUS","CAN","Soybean",0.175580530143697,"salmon_aquaculture_meat","fish-dominant","soybean meal",15926.60062,"soybean","Soya beans",236,"soyb",2796.40098024653
"AUS","LKA","CropsNES",0.00120719716042225,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.113097335550843
"AUS","LKA","CropsNES",0.00120719716042225,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",1.47026536216095
"AUS","LKA","CropsNES",0.00120719716042225,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","LKA","CropsNES",0.00120719716042225,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","LKA","Pulses",0.000177904123064095,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,"opul",0.600015794123259
"AUS","LKA","Pulses",0.000177904123064095,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,"opul",0.716685531869448
"AUS","LKA","Pulses",0.000177904123064095,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,"opul",0.416677634807819
"AUS","LKA","Pulses",0.000177904123064095,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,"opul",0.233339475492379
"AUS","LKA","Pulses",0.000177904123064095,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,"opul",0.333342107846255
"AUS","LKA","Pulses",0.000177904123064095,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,"opul",0
"AUS","LKA","Pulses",0.000177904123064095,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","LKA","Pulses",0.000177904123064095,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","CHL","CropsNES",0.000873606086636777,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.0818445602415592
"AUS","CHL","CropsNES",0.000873606086636777,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",1.06397928314027
"AUS","CHL","CropsNES",0.000873606086636777,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","CHL","CropsNES",0.000873606086636777,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","CHL","Rapeseed",0.00056965905615333,"salmon_aquaculture_meat","plant-dominant","canola oil",17238.203024,"rapeseed","Rape or colza seed",270,"rape",9.81989846443131
"AUS","CHL","Rapeseed",0.00056965905615333,"salmon_aquaculture_meat","fish-dominant","canola oil",0,"rapeseed","Rape or colza seed",270,"rape",0
"AUS","CHN","CropsNES",0.0168257318028979,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",1.57633359155287
"AUS","CHN","CropsNES",0.0168257318028979,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",20.4923366901873
"AUS","CHN","CropsNES",0.0168257318028979,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","CHN","CropsNES",0.0168257318028979,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","CHN","Pulses",0.000158067367437249,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,"opul",0.533112529177663
"AUS","CHN","Pulses",0.000158067367437249,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,"opul",0.636773298739987
"AUS","CHN","Pulses",0.000158067367437249,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,"opul",0.370217034151155
"AUS","CHN","Pulses",0.000158067367437249,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,"opul",0.207321539124647
