"iso3c","animal_system","source_ingredient","ingredient_demand","source","product","included_source","ext_rate","crop","crop_loss","tonnes_product"
"IRL","salmon_aquaculture_meat","guar protein",719.433,"salmon","guar protein","mapspam",25,"pea",12,817.5375
"IRL","salmon_aquaculture_meat","linseed oil",217.503,"salmon","oil of linseed","mapspam",35,"linseed",2,221.941836734694
"IRL","salmon_aquaculture_meat","pea flour",418.275,"salmon","pea other","mapspam",63,"pea",12,475.3125
"IRL","salmon_aquaculture_meat","pea protein",234.234,"salmon","pea protein","mapspam",25,"pea",12,266.175
"IRL","salmon_aquaculture_meat","rapeseed and camelina oil",3078.504,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,3141.3306122449
"IRL","salmon_aquaculture_meat","soy protein concentrate",3496.779,"salmon","soy protein concentrate","mapspam",33,"soybean",12,3973.6125
"IRL","salmon_aquaculture_meat","soybean oil",66.924,"salmon","oil of soya bean","mapspam",18,"soybean",3,68.9938144329897
"IRL","salmon_aquaculture_meat","sunflower",568.854,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,646.425
"IRL","salmon_aquaculture_meat","wheat",1087.515,"salmon","wheat","mapspam",100,"wheat",0,1087.515
"IRL","salmon_aquaculture_meat","wheat gluten",1639.638,"salmon","wheat gluten","mapspam",15,"wheat",1,1656.2
"PRK","salmon_aquaculture_meat","coconut oil",0.078,"salmon","oil of coconuts","mapspam",13,"coconut",79,0.371428571428571
"PRK","salmon_aquaculture_meat","corn gluten",0.546,"salmon","maize gluten","mapspam",10,"maize",16,0.65
"PRK","salmon_aquaculture_meat","faba beans",2.808,"salmon","faba bean","mapspam",100,"faba bean",0,2.808
"PRK","salmon_aquaculture_meat","guar protein",3.354,"salmon","guar protein","mapspam",25,"pea",12,3.81136363636364
"PRK","salmon_aquaculture_meat","linseed oil",1.014,"salmon","oil of linseed","mapspam",35,"linseed",2,1.03469387755102
