iso3c_producing,SPAM_super,tonnes_producing_crop
BFA,tnut,73678.0390445292
BFA,toba,761.9642543196678
BFA,vege,453221.58137890697
BFA,whea,0
BFA,xcof,0
BFA,xfru,162160.57574164867
BFA,xmil,885363.4758181423
BFA,xoil,1507536.9750083387
BFA,xpul,708681.6354774237
BFA,yams,65236.258689403534
BGD,bana,840241.2970695496
BGD,barl,158.14622651040554
BGD,cass,185.40000128746033
BGD,cnut,99010.33062940836
BGD,coco,0
BGD,maiz,3859915.8840072155
BGD,ocer,0
BGD,ofib,1728204.8527692333
BGD,oilp,0
BGD,ooil,9435.73266684264
BGD,opul,167758.6473197043
BGD,orts,0
BGD,othr,12456.622741084546
BGD,plnt,0
BGD,pota,9733050.077837706
BGD,rape,359937.421177268
BGD,rice,55462350.201147884
BGD,sorg,73.55169729888439
BGD,soyb,100284.84774494171
BGD,spis,705598.4735789299
BGD,sugb,0
BGD,sugc,3389226.8280897737
BGD,sunf,18.699999928474426
BGD,swpo,254706.24824535847
BGD,teas,99222.95507544279
BGD,tnut,394921.07643443346
BGD,toba,101398.5400236845
BGD,vege,5408117.6484822035
BGD,whea,1053104.8066037297
BGD,xcof,28.899999618530273
BGD,xfru,4061242.028868139
BGD,xmil,9264.313226498663
BGD,xoil,170483.24005884677
BGD,xpul,262336.84604846314
BGD,yams,0
BGR,bana,0
BGR,barl,608968.7622189075
BGR,cass,0
BGR,cnut,0
BGR,coco,0
BGR,maiz,3486630.1815281957
BGR,ocer,94946.17610286921
BGR,ofib,2034.2234545946121
BGR,oilp,0
BGR,ooil,88734.97152683139
BGR,opul,56563.88159418106
BGR,orts,0
BGR,othr,18.43311584449839
BGR,plnt,0
BGR,pota,199359.21581470966
BGR,rape,722732.664943397
BGR,rice,64504.392340898514
BGR,sorg,13245.333048939705
BGR,soyb,5718.184910416603
BGR,spis,11908.087820701301
BGR,sugb,0
BGR,sugc,0
BGR,sunf,1882308.6780369282
BGR,swpo,0
BGR,teas,0
BGR,tnut,862.5223592352122
BGR,toba,6108.462207924575
BGR,vege,464473.5336443782
BGR,whea,6148101.575276524
BGR,xcof,0
BGR,xfru,492130.1329175532
BGR,xmil,0
BGR,xoil,2801.939958244562
BGR,xpul,143.39999842643738
BGR,yams,0
BHR,bana,392.6000032424927
BHR,barl,0
BHR,cass,0
BHR,cnut,0
BHR,coco,0
BHR,maiz,0
