SPAM_short_name,iso3c,2021,2010,coef
chic,XMI,3208,605,5.302479338842975
chic,YEM,40476.58,65074,0.622008482650521
chic,ZWE,480.73,394.46,1.2187040511078437
cnut,BEN,13930.54,17821.48,0.7816713314494644
cnut,BGD,402852,402000,1.0021194029850746
cnut,BHS,2769.13,2118,1.307426817752597
cnut,BIH,0,0,0
cnut,BLZ,1631.68,642,2.541557632398754
cnut,BRA,2457860,2843453,0.8643926943754653
cnut,BRB,2078.32,1950,1.0658051282051282
cnut,BRN,409.23,358.31,1.142111579358656
cnut,CHN,392314.41,232572,1.6868514266549712
cnut,CIV,124810.54,150816,0.8275682951410991
cnut,CMR,3712.58,4714,0.7875647008909631
cnut,COG,2906.78,3304.98,0.8795151559162234
cnut,COK,1767.75,1830,0.965983606557377
cnut,COL,155081.1,101105,1.5338618268137085
cnut,COM,102596.78,92076.8,1.114252232918607
cnut,CPV,6026.18,5545,1.0867772768259694
cnut,CRI,17153.98,29500,0.5814908474576271
cnut,CUB,28394,72131,0.3936448960918329
cnut,DMA,8094.6,9365,0.8643459690336359
cnut,DOM,433807.33,128370.23,3.379345273432945
cnut,ECU,12833.39,19390,0.6618561113976276
cnut,FJI,20012,10524,1.9015583428354237
cnut,FRA,0,861.32,0
cnut,FSM,72203.15,32000,2.2563484375
cnut,GHA,507255.03,292000,1.7371747602739727
cnut,GIN,54731.88,41679,1.313176419779745
cnut,GNB,40228.51,42050,0.9566827586206897
cnut,GNQ,9466.61,6889.73,1.374017559468949
cnut,GRD,7214.55,9376,0.7694699232081912
cnut,GTM,13186.54,23220,0.5678957795004307
cnut,GUY,17770,76745,0.23154602905726757
cnut,HND,13658.42,14760,0.9253672086720868
cnut,HTI,33699.9,28593,1.178606651977757
cnut,IDN,17159937.91,18000000,0.953329883888889
cnut,IND,14301000,10840000,1.319280442804428
cnut,JAM,101640,76200,1.3338582677165354
cnut,KEN,86554,74613,1.1600391352713335
cnut,KHM,84065.16,65500,1.2834375572519086
cnut,KIR,181325.13,163750,1.107329038167939
