"iso3c_consuming","iso3c_producing","SPAM_super","prop_of_supply","animal_system","diet","source_ingredient","consuming_ingredient_consumed_tonnes","raw_material","FAOSTAT_name","FAO_code","producing_ingredient_consumed_tonnes"
"AUS","CAN","opul",0.000430180455657898,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,0
"AUS","CAN","rape",0.00193637380813399,"salmon_aquaculture_meat","plant-dominant","canola oil",17238.203024,"rapeseed","Rape or colza seed",270,33.3796048349697
"AUS","CAN","rape",0.00193637380813399,"salmon_aquaculture_meat","fish-dominant","canola oil",0,"rapeseed","Rape or colza seed",270,0
"AUS","CAN","soyb",0.000357755827070935,"salmon_aquaculture_meat","plant-dominant","soy oil",374.743544,"soybean","Soya beans",236,0.134066686523213
"AUS","CAN","soyb",0.000357755827070935,"salmon_aquaculture_meat","plant-dominant","soy protein concentrate",19580.350174,"soybean","Soya beans",236,7.00498437083789
"AUS","CAN","soyb",0.000357755827070935,"salmon_aquaculture_meat","fish-dominant","soy oil",0,"soybean","Soya beans",236,0
"AUS","CAN","soyb",0.000357755827070935,"salmon_aquaculture_meat","fish-dominant","soy protein concentrate",0,"soybean","Soya beans",236,0
"AUS","CAN","soyb",0.000357755827070935,"salmon_aquaculture_meat","fish-dominant","soybean meal",15926.60062,"soybean","Soya beans",236,5.69783417723656
"AUS","CAN","whea",6.55098123510318e-05,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,0.39892741276701
"AUS","CAN","whea",6.55098123510318e-05,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,0.601459791556416
"AUS","CAN","whea",6.55098123510318e-05,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,0.429614136826011
"AUS","CAN","whea",6.55098123510318e-05,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,0.797854825534021
"AUS","LKA","cnut",0.0951013073548784,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,8.9096502393001
"AUS","LKA","cnut",0.0951013073548784,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,0
"AUS","LKA","ooil",0,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0
"AUS","LKA","ooil",0,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","LKA","opul",0,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,0
"AUS","LKA","opul",0,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,0
"AUS","LKA","opul",0,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,0
"AUS","LKA","opul",0,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,0
"AUS","LKA","opul",0,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,0
"AUS","LKA","opul",0,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,0
"AUS","LKA","opul",0,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,0
"AUS","LKA","opul",0,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,0
"AUS","LKA","soyb",3.49089675867524e-06,"salmon_aquaculture_meat","plant-dominant","soy oil",374.743544,"soybean","Soya beans",236,0.00130819102308407
"AUS","LKA","soyb",3.49089675867524e-06,"salmon_aquaculture_meat","plant-dominant","soy protein concentrate",19580.350174,"soybean","Soya beans",236,0.0683529809561427
"AUS","LKA","soyb",3.49089675867524e-06,"salmon_aquaculture_meat","fish-dominant","soy oil",0,"soybean","Soya beans",236,0
