"allocation","diet","fcr","spp_type","ingredient_raw_material","med_ad","mean_ad","global_mean","lower_med_ad","upper_med_ad","lower_mean_ad","upper_mean_ad","range_med_ad","range_mean_ad"
"ge","fish-dominant","regular","sponges","trimmings fish_fish oil, cut offs",0.000000342458240300342,0.000000465017570276194,0.000000344440784318184,0.00000000198254401784226,0.000000686899024618526,-0.000000120576785958009,0.000000809458354594378,0.000000684916480600684,0.000000930035140552387
"ge","fish-dominant","regular","sponges","trimmings fish_fish meal, cut offs",0.000000028334472497592,0.000000036056671159014,0.0000000296980868301532,0.00000000136361433256127,0.0000000580325593277452,-0.00000000635858432886073,0.0000000657547579891672,0.000000056668944995184,0.000000072113342318028
"ge","fish-dominant","regular","sponges","forage fish_fish oil",0.00000159858324136054,0.00000257061251229039,0.00000160331106082979,0.00000000472781946925238,0.00000320189430219033,-0.000000967301451460602,0.00000417392357312018,0.00000319716648272108,0.00000514122502458078
"ge","fish-dominant","regular","sponges","forage fish_fish meal",0.000000464178823692828,0.000000757657824161159,0.000000465931227137405,0.00000000175240344457706,0.000000930110050830232,-0.000000291726597023754,0.00000122358905129856,0.000000928357647385655,0.00000151531564832232
"ge","plant-dominant","regular","Terrestrial mammal","Sunflower_sunflower meal",0.00000303061363142447,0.00000528340687617399,0.00000304477475392132,0.0000000141611224968585,0.00000607538838534579,-0.00000223863212225266,0.00000832818163009531,0.00000606122726284893,0.000010566813752348
"ge","plant-dominant","regular","Terrestrial mammal","Rapeseed_canola oil",0.0000209340618463975,0.0000362847529522081,0.0000209368086623944,0.00000000274681599687909,0.0000418708705087919,-0.0000153479442898137,0.0000572215616146025,0.000041868123692795,0.0000725695059044162
"ge","plant-dominant","regular","Terrestrial mammal","Soybean_soy protein concentrate",0.0000221015961448788,0.0000345747623926582,0.0000222515176778447,0.000000149921532965891,0.0000443531138227234,-0.0000123232447148135,0.0000568262800705028,0.0000442031922897575,0.0000691495247853163
"ge","plant-dominant","regular","Terrestrial mammal","Soybean_soy oil",0.000000688402342931133,0.00000107637186714163,0.000000693154352383735,0.00000000475200945260212,0.00000138155669531487,-0.000000383217514757898,0.00000176952621952537,0.00000137680468586227,0.00000215274373428327
"ge","plant-dominant","regular","Terrestrial mammal","Wheat_wheat gluten",0.00000353346655480777,0.00000576632748795518,0.0000035342433713633,0.000000000776816555525528,0.00000706770992617108,-0.00000223208411659188,0.00000930057085931848,0.00000706693310961555,0.0000115326549759104
"ge","plant-dominant","regular","Terrestrial mammal","Wheat_wheat",0.00000210354001954062,0.00000343260769969881,0.00000210400410855783,0.000000000464089017215841,0.00000420754412809845,-0.00000132860359114098,0.00000553661180825665,0.00000420708003908123,0.00000686521539939763
"ge","plant-dominant","regular","Terrestrial mammal","Pulses_pea protein concentrate",0.00000086537723275245,0.00000140974626668431,0.000000869396883586858,0.00000000401965083440814,0.00000173477411633931,-0.000000540349383097452,0.00000227914315027117,0.0000017307544655049,0.00000281949253336862
"ge","plant-dominant","regular","Terrestrial mammal","Pulses_pea flour",0.00000121587266338728,0.00000198076527866862,0.0000012215148425556,0.00000000564217916831922,0.00000243738750594287,-0.000000759250436113022,0.00000320228012122422,0.00000243174532677456,0.00000396153055733724
"ge","plant-dominant","regular","Terrestrial mammal","Pulses_guar meal",0.0000018937516590476,0.00000308521640153219,0.00000190252846943717,0.00000000877681038957689,0.00000379628012848477,-0.00000118268793209502,0.00000498774487096937,0.00000378750331809519,0.00000617043280306439
"ge","plant-dominant","regular","Terrestrial mammal","CropsNES_linseed oil",0.000000880811534310553,0.00000146343312988827,0.000000890467007176241,0.00000000965547286568835,0.00000177127854148679,-0.000000572966122712034,0.00000235390013706452,0.00000176162306862111,0.00000292686625977655
"ge","plant-dominant","regular","Terrestrial mammal","CropsNES_coconut oil",0.0000000840989634362687,0.00000013963180479135,0.0000000850560060480954,0.000000000957042611826608,0.000000169154969484364,-0.0000000545757987432543,0.000000224687810839445,0.000000168197926872537,0.000000279263609582699
"ge","plant-dominant","regular","Terrestrial mammal","Pulses_faba beans",0.00000148814234878274,0.00000242435833715011,0.00000149504551526563,0.00000000690316648288558,0.00000298318786404837,-0.000000929312821884483,0.00000391940385241574,0.00000297628469756549,0.00000484871667430023
"ge","plant-dominant","regular","Terrestrial mammal","Maize_corn gluten meal",0.0000000976724094766427,0.000000166146709468548,0.000000097679148730329,0.00000000000673925368635531,0.000000195351558206972,-0.0000000684675607382192,0.000000263825858198877,0.000000195344818953285,0.000000332293418937097
"ge","plant-dominant","regular","Amphibians","Sunflower_sunflower meal",0.00000183337512154671,0.00000315195584249155,0.00000184644315753337,0.0000000130680359866631,0.00000367981827908008,-0.00000130551268495818,0.00000499839900002492,0.00000366675024309341,0.00000630391168498309
"ge","plant-dominant","regular","Amphibians","Rapeseed_canola oil",0.0000165371306611974,0.0000280063001156068,0.0000165553533219111,0.0000000182226607137181,0.0000330924839831084,-0.0000114509467936957,0.0000445616534375179,0.0000330742613223947,0.0000560126002312136
"ge","plant-dominant","regular","Amphibians","Soybean_soy protein concentrate",0.0000155165027628141,0.0000239725206749789,0.0000156285810525743,0.00000011207828976012,0.0000311450838153884,-0.0000083439396224047,0.0000396011017275532,0.0000310330055256283,0.0000479450413499579
"ge","plant-dominant","regular","Amphibians","Soybean_soy oil",0.000000482475608804881,0.000000745276841221218,0.000000485973768122653,0.00000000349815931777187,0.000000968449376927533,-0.000000259303073098566,0.00000123125060934387,0.000000964951217609761,0.00000149055368244244
"ge","plant-dominant","regular","Amphibians","Wheat_wheat gluten",0.00000266261896799562,0.00000422723512680431,0.00000266704092945929,0.00000000442196146366314,0.00000532965989745491,-0.00000156019419734502,0.00000689427605626359,0.00000532523793599124,0.00000845447025360862
"ge","plant-dominant","regular","Amphibians","Wheat_wheat",0.00000158530912568595,0.00000251673599581987,0.00000158795251874595,0.00000000264339305999783,0.00000317326164443191,-0.00000092878347707392,0.00000410468851456582,0.00000317061825137191,0.00000503347199163974
"ge","plant-dominant","regular","Amphibians","Pulses_pea protein concentrate",0.000000653075990322858,0.00000105228738593382,0.000000656906654997211,0.00000000383066467435356,0.00000130998264532007,-0.000000395380730936607,0.00000170919404093103,0.00000130615198064572,0.00000210457477186764
"ge","plant-dominant","regular","Amphibians","Pulses_pea flour",0.000000917629795423973,0.00000147857372634315,0.000000923011257144661,0.00000000538146172068821,0.00000184064105256863,-0.000000555562469198489,0.00000240158498348781,0.00000183525959084795,0.0000029571474526863
"ge","plant-dominant","regular","Amphibians","Pulses_guar meal",0.00000142937410137681,0.00000230318242074106,0.00000143775262591764,0.00000000837852454083077,0.00000286712672729445,-0.00000086542979482342,0.0000037409350466587,0.00000285874820275362,0.00000460636484148212
"ge","plant-dominant","regular","Amphibians","CropsNES_linseed oil",0.000000613843410141674,0.000000991841912472491,0.000000620560810111276,0.00000000671739996960241,0.00000123440422025295,-0.000000371281102361215,0.00000161240272258377,0.00000122768682028335,0.00000198368382494498
"ge","plant-dominant","regular","Amphibians","CropsNES_coconut oil",0.0000000586763784857802,0.0000000947128847681207,0.000000059348472532863,0.000000000672094047082794,0.000000118024851018643,-0.0000000353644122352578,0.000000154061357300984,0.00000011735275697156,0.000000189425769536241
"ge","plant-dominant","regular","Amphibians","Pulses_faba beans",0.00000112315428018727,0.00000180974748026552,0.00000112973958870799,0.00000000658530852071237,0.00000225289386889526,-0.000000680007891557536,0.00000293948706897351,0.00000224630856037455,0.00000361949496053104
"ge","plant-dominant","regular","Amphibians","Maize_corn gluten meal",0.0000000750665742967358,0.000000125968777834206,0.0000000750739092071926,0.00000000000733491045679102,0.000000150140483503928,-0.0000000508948686270139,0.000000201042687041399,0.000000150133148593472,0.000000251937555668413
