"crop_number","SPAM_short_name","SPAM_super","SPAM_full_name","FAONAMES","FAO_item_code_NFB","FAO_item_code","GROUP","product_description_FAOSTAT","non_food"
27,"ooil","ooil","other oil crops","olives ++",2586,1241,"oilcrops","Margarine, liquid",NA
27,"ooil","ooil","other oil crops","olives ++",2586,1242,"oilcrops","Margarine, short",NA
27,"ooil","ooil","other oil crops","olives ++",2586,1273,"oilcrops","Castor oil, hydrogenated (opal wax)",NA
27,"ooil","ooil","other oil crops","olives ++",2586,1274,"oilcrops","Oil, boiled, etc",NA
27,"ooil","ooil","other oil crops","olives ++",2586,1275,"oilcrops","Oil, hydrogenated",NA
31,"ofib","ofib","other fibre crops","other fibres ++",NA,773,"fibres","Flax fibre and tow","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,774,"fibres","Flax tow and waste","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,775,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,776,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,777,"fibres","Hemp fibre and tow","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,778,"fibres","Kapok fibre","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,779,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,780,"fibres","Jute","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,781,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,782,"fibres","Jute-like fibres","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,783,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,784,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,785,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,786,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,787,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,788,"fibres","Ramie","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,789,"fibres","Sisal","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,790,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,791,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,792,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,793,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,794,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,795,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,796,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,797,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,798,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,799,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,800,"fibres","Agave fibres nes","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,801,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,802,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,803,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,804,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,805,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,806,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,807,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,808,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,809,"fibres","Abaca manila hemp","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,810,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,811,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,812,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,813,"fibres","Coir","nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,814,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,815,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,816,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,817,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,818,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,819,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,820,"fibres",NA,"nonfood"
31,"ofib","ofib","other fibre crops","other fibres ++",NA,821,"fibres","Fibre crops nes","nonfood"
39,"trof","xfru","tropical fruit","oranges ++",2611,490,"fruits","Oranges",NA
39,"trof","xfru","tropical fruit","oranges ++",2611,491,"fruits","Juice of Orange",NA
39,"trof","xfru","tropical fruit","oranges ++",2611,492,"fruits","Orange Juice, Concentrated",NA
39,"trof","xfru","tropical fruit","oranges ++",NA,493,"fruits",NA,NA
39,"trof","xfru","tropical fruit","oranges ++",NA,494,"fruits",NA,NA
39,"trof","xfru","tropical fruit","oranges ++",2611,495,"fruits","Tangerines, mandarins, clementines, satsumas",NA
39,"trof","xfru","tropical fruit","oranges ++",2611,496,"fruits","Juice of Tangerine, Mandarin and Clementin",NA
39,"trof","xfru","tropical fruit","oranges ++",2612,497,"fruits","Lemons and limes",NA
