"TaxonName","DietTroph","SpecCode","Genus","Subfamily","Family","Order","Class","SuperClass"
"Engraulidae",2.94599997901916,NA,NA,NA,NA,NA,NA,NA
"Platycephalidae",3.84,NA,NA,NA,NA,NA,NA,NA
"Exocoetidae",2.995,NA,NA,NA,NA,NA,NA,NA
"Synodontidae",4.08,NA,NA,NA,NA,NA,NA,NA
"Mullidae",3.58,NA,NA,NA,NA,NA,NA,NA
"Batrachoididae",3.39471752678276,NA,NA,NA,NA,NA,NA,NA
"Nemipteridae",4.055,NA,NA,NA,NA,NA,NA,NA
"Bothidae",3.5,NA,NA,NA,NA,NA,NA,NA
"Gobiidae",3.2,NA,NA,NA,NA,NA,NA,NA
"Clupeidae",3.38,NA,NA,NA,NA,NA,NA,NA
"Gerreidae",2.955,NA,NA,NA,NA,NA,NA,NA
"Cynoglossidae",3.404,NA,NA,NA,NA,NA,NA,NA
"Soleidae",3.32,NA,NA,NA,NA,NA,NA,NA
"Triglidae",3.87,NA,NA,NA,NA,NA,NA,NA
"Leiognathidae",3.72142857142857,NA,NA,NA,NA,NA,NA,NA
"Caesionidae",3.72142857142857,NA,NA,NA,NA,NA,NA,NA
"Caproidae",3.14,NA,NA,NA,NA,NA,NA,NA
"Chlorophthalmidae",4.08,NA,NA,NA,NA,NA,NA,NA
"Trachinidae",3.39471752678276,NA,NA,NA,NA,NA,NA,NA
"Trachichthyidae",3.39471752678276,NA,NA,NA,NA,NA,NA,NA
"Cottidae",3.39471752678276,NA,NA,NA,NA,NA,NA,NA
"Apogonidae",3.39471752678276,NA,NA,NA,NA,NA,NA,NA
"Euphausia superba",2.25,NA,NA,NA,NA,NA,NA,NA
"Clupea pallasii pallasii",3.16,NA,NA,NA,NA,NA,NA,NA
"Oblada melanura",3.42333333333333,NA,NA,NA,NA,NA,NA,NA
"Liza saliens",3.39471752678276,NA,NA,NA,NA,NA,NA,NA
"Ammodytes personatus",3.1,NA,NA,NA,NA,NA,NA,NA
"Clupanodon thrissa",3.1,NA,NA,NA,NA,NA,NA,NA
"Liza klunzingeri",2.6,NA,NA,NA,NA,NA,NA,NA
"Pellona ditchela",4,NA,NA,NA,NA,NA,NA,NA
"Engraulis capensis",3,NA,NA,NA,NA,NA,NA,NA
"Lepidoperca pulchella",3.6,NA,NA,NA,NA,NA,NA,NA
