BINOMIAL,AOH_name,excluded,ORDER,Red_List_Category_2019,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Marmosops cracens,Marmosops_cracens,no,DIDELPHIMORPHIA,DD,0.0229959531263567,0,0,No
Marmosops creightoni,Marmosops_creightoni,no,DIDELPHIMORPHIA,DD,0.45345204094505,0,0,No
Marmosops fuscatus,Marmosops_fuscatus,no,DIDELPHIMORPHIA,DD,0.346506385611525,0,0,No
Marmosops handleyi,Marmosops_handleyi,no,DIDELPHIMORPHIA,CR,0.986467212069078,0,0,No
Marmosops incanus,Marmosops_incanus,no,DIDELPHIMORPHIA,LC,0.460441534428008,0,0,No
Marmosops invictus,Marmosops_invictus,no,DIDELPHIMORPHIA,LC,0.20500533982806,0,0,No
Marmosops juninensis,Marmosops_juninensis,no,DIDELPHIMORPHIA,VU,0.27095818672152,0,0,No
Marmosops noctivagus,Marmosops_noctivagus,no,DIDELPHIMORPHIA,LC,0.958266477525903,0,0,No
Marmosops ocellatus,Marmosops_ocellatus,no,DIDELPHIMORPHIA,LC,0.802168696422495,0,0,No
Marmosops pinheiroi,Marmosops_pinheiroi,no,DIDELPHIMORPHIA,LC,0.884631808795974,0,0,No
Metachirus nudicaudatus,Metachirus_nudicaudatus,no,DIDELPHIMORPHIA,LC,0.78054329145053,0,0,No
Marmosa alstoni,Marmosa_alstoni,no,DIDELPHIMORPHIA,LC,0.660563765941165,0,0,No
Marmosa paraguayana,Marmosa_paraguayana,no,DIDELPHIMORPHIA,LC,0.423712917772842,0,0,No
Marmosa phaea,Marmosa_phaea,no,DIDELPHIMORPHIA,VU,0.6026903850365,0,0,No
Marmosa regina,Marmosa_regina,no,DIDELPHIMORPHIA,LC,0.888193046805802,0,0,No
Monodelphis brevicaudata,Monodelphis_brevicaudata,no,DIDELPHIMORPHIA,LC,0.885844174283969,0,0,No
Monodelphis emiliae,Monodelphis_emiliae,no,DIDELPHIMORPHIA,LC,0.922554974826758,0,0,No
Monodelphis iheringi,Monodelphis_iheringi,no,DIDELPHIMORPHIA,DD,0.547269820574262,0,0,No
Monodelphis kunsi,Monodelphis_kunsi,no,DIDELPHIMORPHIA,LC,0.644987541284113,0,0,No
Monodelphis osgoodi,Monodelphis_osgoodi,no,DIDELPHIMORPHIA,LC,0.479742363088062,0,0,No
Monodelphis ronaldi,Monodelphis_ronaldi,no,DIDELPHIMORPHIA,LC,0.994738466786634,0,0,No
Philander andersoni,Philander_andersoni,no,DIDELPHIMORPHIA,LC,0.966631693784908,0,0,No
Philander mcilhennyi,Philander_mcilhennyi,no,DIDELPHIMORPHIA,LC,0.989879211587648,0,0,No
Rhyncholestes raphanurus,Rhyncholestes_raphanurus,no,PAUCITUBERCULATA,NT,0.659808548761033,0,0,No
Thylamys elegans,Thylamys_elegans,no,DIDELPHIMORPHIA,LC,0.634291562775112,0,0,No
Thylamys tatei,Thylamys_tatei,no,DIDELPHIMORPHIA,DD,0.676606019776439,0,0,No
Thylamys velutinus,Thylamys_velutinus,no,DIDELPHIMORPHIA,NT,0.839626722651987,0,0,No
Thylamys venustus,Thylamys_venustus,no,DIDELPHIMORPHIA,DD,0.784629528765354,0,0,No
Acomys airensis,Acomys_airensis,no,RODENTIA,LC,0.850183423376829,0,0,No
Acomys cahirinus,Acomys_cahirinus,no,RODENTIA,LC,0.951629047645479,0,0,No
Acomys cilicicus,Acomys_cilicicus,no,RODENTIA,DD,0.642552496515786,0,0,No
Acomys minous,Acomys_minous,no,RODENTIA,DD,0.658422793183649,0,0,No
Acomys russatus,Acomys_russatus,no,RODENTIA,LC,0.865652676435821,0,0,No
Acomys seurati,Acomys_seurati,no,RODENTIA,LC,0.479744760253592,0,0,No
Allactaga elater,Allactaga_elater,no,RODENTIA,LC,0.426991059096348,0,0,No
Allactaga major,Allactaga_major,no,RODENTIA,LC,0.82980649087553,0,0,No
Allocricetulus eversmanni,Allocricetulus_eversmanni,no,RODENTIA,LC,0.946804229625268,0,0,No
Apodemus agrarius,Apodemus_agrarius,no,RODENTIA,LC,0.934480540120855,1,88,Yes
Apodemus alpicola,Apodemus_alpicola,no,RODENTIA,LC,0.479115751286348,0,0,No
Apodemus epimelas,Apodemus_epimelas,no,RODENTIA,LC,0.229730054856479,0,0,No
Castor fiber,Castor_fiber,no,RODENTIA,LC,0.912771459502831,0.986822840409956,1366,Yes
