GAEZ_category,iso3c,late,early,coef
Banana,LBN,83408.08,91229.21333333333,0.9142694204239549
Banana,LBR,189894.34,183972.86,1.032186704060588
Banana,LBY,0,0,1
Banana,LCA,13309.926666666666,19198.193333333333,0.6932905839403638
Banana,LKA,783523.3333333334,594759.82,1.3173777161566385
Banana,LTU,0,0,1
Banana,LUX,0,0,1
Banana,LVA,0,0,1
Banana,MAR,342340,337078.73333333334,1.0156084206637381
Banana,MDG,382803.31666666665,371742.93666666665,1.0297527643676996
Banana,MDV,206.37333333333333,885.59,0.23303485058924933
Banana,MEX,2423184.223333333,2265775.4166666665,1.0694723782016495
Banana,MLI,299297,154752.33,1.9340387314362248
Banana,MLT,0,0,1
Banana,MMR,1399639.46,1085591.3333333333,1.2892876140622591
Banana,MOZ,757763.32,587500,1.2898099063829787
Banana,MUS,8282.333333333334,8176.543333333333,1.0129382302138272
Banana,MWI,809772.1466666667,782116.5933333333,1.0353598856859272
Banana,MYS,323300.14333333337,309371.6666666667,1.0450218238041622
Banana,NCL,2432.6666666666665,2069.5,1.1754852218732383
Banana,NGA,3127949.513333333,3065217.0766666667,1.0204659034246562
Banana,NIC,392463.3333333333,238325.70333333334,1.6467520197954308
Banana,NIU,81.54,80.75,1.0097832817337462
Banana,NLD,0,0,1
Banana,NPL,283796.3333333333,226253.07,1.2543314145232738
Banana,OMN,18437,17113.333333333332,1.0773470977795092
Banana,PAK,142852,123811.33333333333,1.1537877523328506
Banana,PAN,543809.0599999999,459577.3333333333,1.1832808551625695
Banana,PER,2318767.2533333334,2115064.9,1.096310214090042
Banana,PHL,9101711.200000001,8957490.186666667,1.0161006052284611
Banana,PNG,1277713.8233333332,1271084.2933333335,1.005215649374924
Banana,POL,0,0,1
Banana,PRI,152110.6,150488.83333333334,1.01077665784726
Banana,PRT,26130,24896.666666666668,1.049538090775204
Banana,PRY,93984,70778.66666666667,1.3278577349107075
Banana,PSE,3147.543333333333,3313.3333333333335,0.9499627766599597
Banana,PYF,207.15,209.64,0.9881224957069262
Banana,ROU,0,0,1
Banana,RWA,2888652.4966666666,1855405.3333333333,1.5568848729549842
Banana,SDN,925599.05,909703.3333333334,1.017473517007376
Banana,SEN,34474,36358.333333333336,0.9481732752693101
Banana,SGP,0,0,1
Banana,SLB,317.98,313.68,1.0137082376944657
Banana,SLE,45284.39333333333,44051.68,1.027983344411231
Banana,SLV,46809.363333333335,53764.666666666664,0.8706343075377883
Banana,SOM,23610.48,23029.276666666665,1.0252375852592273
Banana,SSD,0,0,1
Banana,STP,45740.240000000005,31389.9,1.457164247098589
Banana,SUR,27771.333333333332,90689.66666666667,0.30622378881827766
Banana,SVK,0,0,1
Banana,SVN,0,0,1
Banana,SWE,0,0,1
Banana,SWZ,15087.42,10050.79,1.5011178225791206
Banana,SYC,1990.2133333333334,1981.18,1.0045595722414589
Banana,SYR,136,169.32,0.8032128514056225
Banana,TGO,24319.886666666665,24469.693333333333,0.9938778690592499
Banana,THA,1333412.5066666666,1182971.6566666667,1.1271719818071606
Banana,TKL,15.903333333333334,15.543333333333333,1.023161055114733
Banana,TLS,782.28,429.0133333333333,1.8234398309298856
Banana,TON,3180.18,3289.1833333333334,0.966860061514763
Banana,TTO,8722.473333333333,8535.943333333333,1.0218523006439828
Banana,TUR,719970.3333333334,276140,2.6072656382028443
Banana,TUV,287.74666666666667,283.01,1.0167367466402837
Banana,TWN,346457.6666666667,277175,1.2499600132287063
Banana,TZA,4058727.1666666665,3893546.783333333,1.0424241424401017
Banana,UGA,9452000,4198958.333333333,2.251034482758621
Banana,USA,3094.2133333333336,5120.666666666667,0.6042598619971358
Banana,VCT,65693.06666666667,63704.76,1.0312112731712146
Banana,VEN,1197277.2,1126017.13,1.063285067430546
Banana,VNM,2269548.3466666667,1914304.4,1.1855733846020866
Banana,VUT,16886.103333333333,16206.576666666666,1.0419290687134626
Banana,WSM,22813.053333333333,22275.74,1.0241210093731266
Banana,XMI,26130,24896.666666666668,1.049538090775204
Banana,YEM,116512.60666666667,120333.66666666667,0.9682461267420313
Banana,ZAF,363552.6666666667,400758,0.9071625935518859
Banana,ZMB,697.9300000000001,682.4233333333333,1.022722943236603
Banana,ZWE,171837.90333333332,199245.33333333334,0.8624438046227765
Barley,AFG,124675.25666666667,408618.6666666667,0.30511395302547767
Barley,ALB,11965.666666666666,7766.666666666667,1.5406437768240342
Barley,ARE,0,0,1
Barley,ARG,4101338.3333333335,3580570,1.1454428577945226
Barley,ARM,65439.6,191491,0.3417372095816513
Barley,AUS,11198233.986666666,8937670.666666666,1.252925331924664
Barley,AUT,811840,848613.23,0.9566666784113182
Barley,AZE,1032450.5,882388.0666666667,1.1700639877193866
Barley,BEL,343533.3333333333,393223,0.8736348924995062
Barley,BGD,151.66666666666666,296.6666666666667,0.5112359550561797
Barley,BGR,611180,746648,0.8185651069848174
Barley,BIH,83161,63045.666666666664,1.3190597291910098
Barley,BLR,1183401.3333333333,1696601.6666666667,0.6975127730826622
Barley,BOL,47899.193333333336,47399.666666666664,1.01053861138264
Barley,BRA,415196,272503.6666666667,1.523634544366987
Barley,BTN,1002.2933333333334,1751.6666666666667,0.5721941008563273
Barley,CAN,9323779,8070933.333333333,1.1552293415053196
Barley,CHE,184931.33333333334,186539.33333333334,0.991379834101119
Barley,CHL,187195.78,80064,2.3380767885691447
Barley,CHN,2015666.6666666667,1668199.3333333333,1.2082888575665818
Barley,COD,975.38,968.3466666666667,1.0072632390603915
Barley,COL,6989.5999999999995,11183.223333333333,0.6250076379290764
Barley,CYP,32546.666666666668,19267.333333333332,1.6892149060586141
