iso3c_producing,product,animal_system,SPAM_super,prop_produced_for_system,prop_extra_for_system,total_prop
AUS,maize gluten,salmon_aquaculture_meat,maiz,0.0020129804296404744,-4.776321500104284e-23,0.0020129804296404744
AUS,oil of soya bean,salmon_aquaculture_meat,soyb,0.0062237324696794525,1.6237755593386527e-8,0.006223748707435046
AUS,soy protein concentrate,salmon_aquaculture_meat,soyb,0.35844809192560106,7.93174808786737e-7,0.35844888510040984
AUS,wheat,salmon_aquaculture_meat,whea,2.352796464294734e-4,1.978928280641789e-9,2.3528162535775402e-4
AUS,wheat gluten,salmon_aquaculture_meat,whea,3.5831243745281107e-4,7.074111829040753e-9,3.583195115646401e-4
AUS,cake of sunflower seed,salmon_aquaculture_meat,xoil,9.961200910670103e-4,3.806570934167254e-7,9.96500748160427e-4
AUS,oil of linseed,salmon_aquaculture_meat,xoil,3.420052173411344e-4,2.3166032485232945e-23,3.420052173411344e-4
AUS,oil of rapeseed,salmon_aquaculture_meat,xoil,0.004840689230059134,4.5904434044607195e-5,0.004886593664103741
AUS,faba bean,salmon_aquaculture_meat,xpul,0.0019734448065420575,2.4636625072078037e-5,0.0019980814316141356
AUS,guar protein,salmon_aquaculture_meat,xpul,0.0026786024836271604,3.872776765940829e-5,0.002717330251286569
AUS,pea other,salmon_aquaculture_meat,xpul,0.0015573270253646284,1.6311996888780167e-5,0.0015736390222534087
AUS,pea protein,salmon_aquaculture_meat,xpul,8.721031342041921e-4,5.695653429039922e-6,8.77798787633232e-4
AUT,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AUT,maize gluten,salmon_aquaculture_meat,maiz,4.322535717578943e-6,-4.785934847469491e-23,4.322535717578943e-6
AUT,oil of soya bean,salmon_aquaculture_meat,soyb,2.082163030007262e-6,1.6339413924710895e-8,2.098502443931973e-6
AUT,soy protein concentrate,salmon_aquaculture_meat,soyb,1.1991957700948075e-4,1.2361894362992084e-6,1.2115576644577996e-4
AUT,wheat,salmon_aquaculture_meat,whea,5.229580816852525e-5,1.979290477751832e-9,5.2297787459003004e-5
AUT,wheat gluten,salmon_aquaculture_meat,whea,7.964241181842232e-5,7.076083878575367e-9,7.96494879023009e-5
AUT,cake of sunflower seed,salmon_aquaculture_meat,xoil,7.046443606228334e-4,3.807681563531001e-7,7.050251287791865e-4
AUT,oil of linseed,salmon_aquaculture_meat,xoil,2.4193071685249738e-4,2.3168351607514122e-23,2.4193071685249738e-4
AUT,oil of rapeseed,salmon_aquaculture_meat,xoil,0.0034242501462199626,4.5969771155759786e-5,0.0034702199173757223
AUT,faba bean,salmon_aquaculture_meat,xpul,2.9299315639612224e-5,2.468461696497477e-5,5.3983932604586996e-5
AUT,guar protein,salmon_aquaculture_meat,xpul,3.9768641808817094e-5,3.883023828138854e-5,7.859888009020564e-5
AUT,pea other,salmon_aquaculture_meat,xpul,2.3121303377219238e-5,1.6337061882135517e-5,3.945836525935476e-5
AUT,pea protein,salmon_aquaculture_meat,xpul,1.2947929891242774e-5,5.700551150643807e-6,1.8648481041886583e-5
AZE,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AZE,maize gluten,salmon_aquaculture_meat,maiz,6.6763964309881e-11,-4.7859555346137033e-23,6.676396430983314e-11
AZE,oil of soya bean,salmon_aquaculture_meat,soyb,7.819396915092541e-12,1.6339447945977577e-8,1.634726734289267e-8
AZE,soy protein concentrate,salmon_aquaculture_meat,soyb,4.5034839107861107e-10,1.236337696836138e-6,1.2367880452272167e-6
AZE,wheat,salmon_aquaculture_meat,whea,5.400929946832e-9,1.9793939810697464e-9,7.380323927901746e-9
AZE,wheat gluten,salmon_aquaculture_meat,whea,8.225192459821848e-9,7.076647421641463e-9,1.5301839881463313e-8
AZE,cake of sunflower seed,salmon_aquaculture_meat,xoil,8.035741194818278e-9,3.8103664861898573e-7,3.89072389813804e-7
AZE,oil of linseed,salmon_aquaculture_meat,xoil,2.7589699660480525e-9,2.317395803587327e-23,2.7589699660480757e-9
AZE,oil of rapeseed,salmon_aquaculture_meat,xoil,3.9050036442526276e-8,4.612772222019584e-5,4.616677225663837e-5
AZE,faba bean,salmon_aquaculture_meat,xpul,5.051137893881925e-6,2.4685215539492347e-5,2.973635343337427e-5
AZE,guar protein,salmon_aquaculture_meat,xpul,6.8560268130341785e-6,3.8831516336897834e-5,4.568754314993201e-5
AZE,pea other,salmon_aquaculture_meat,xpul,3.986062100601267e-6,1.6337374502984582e-5,2.032343660358585e-5
AZE,pea protein,salmon_aquaculture_meat,xpul,2.23219477633671e-6,5.700612237030889e-6,7.932807013367598e-6
BDI,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
BDI,maize gluten,salmon_aquaculture_meat,maiz,9.886826558234194e-7,-4.7859508031420054e-23,9.886826558234194e-7
BDI,oil of soya bean,salmon_aquaculture_meat,soyb,7.819396915092543e-12,1.6339447945977574e-8,1.6347267342892668e-8
BDI,soy protein concentrate,salmon_aquaculture_meat,soyb,4.5034839107861117e-10,1.236337696836138e-6,1.2367880452272167e-6
BDI,wheat,salmon_aquaculture_meat,whea,5.387602305774528e-9,1.9793939810961277e-9,7.3669962868706555e-9
BDI,wheat gluten,salmon_aquaculture_meat,whea,8.204895508405652e-9,7.076647421785098e-9,1.5281542930190748e-8
BDI,cake of sunflower seed,salmon_aquaculture_meat,xoil,4.839645034530008e-10,3.8103665149648937e-7,3.8152061599994235e-7
BDI,oil of linseed,salmon_aquaculture_meat,xoil,1.6616308281819713e-10,2.3173958095958868e-23,1.661630828182203e-10
BDI,oil of rapeseed,salmon_aquaculture_meat,xoil,2.3518467106575597e-9,4.6127723912999804e-5,4.613007575971046e-5
BDI,faba bean,salmon_aquaculture_meat,xpul,1.0317492717274894e-6,2.468531475946799e-5,2.5717064031195478e-5
BDI,guar protein,salmon_aquaculture_meat,xpul,1.400417256448297e-6,3.8831728187941906e-5,4.0232145444390205e-5
BDI,pea other,salmon_aquaculture_meat,xpul,8.14196079330405e-7,1.6337426323154208e-5,1.7151622402484612e-5
BDI,pea protein,salmon_aquaculture_meat,xpul,4.5594980442502687e-7,5.700622362737314e-6,6.156572167162341e-6
BEL,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
BEL,maize gluten,salmon_aquaculture_meat,maiz,1.5131605110524815e-4,-4.785231343040922e-23,1.5131605110524815e-4
BEL,oil of soya bean,salmon_aquaculture_meat,soyb,1.05,0,1.05
BEL,soy protein concentrate,salmon_aquaculture_meat,soyb,1.05,0,1.05
BEL,wheat,salmon_aquaculture_meat,whea,1.775819664918725e-4,1.9790424870827957e-9,1.7758394553435956e-4
BEL,wheat gluten,salmon_aquaculture_meat,whea,2.704433988532013e-4,7.074733647251315e-9,2.704504735868486e-4
BEL,cake of sunflower seed,salmon_aquaculture_meat,xoil,0.07031970716866803,3.542422659141671e-7,0.07032006141093394
BEL,oil of linseed,salmon_aquaculture_meat,xoil,0.024143380852627915,2.261446040354298e-23,0.024143380852627915
BEL,oil of rapeseed,salmon_aquaculture_meat,xoil,0.34172169822181053,3.0364879833756238e-5,0.3417520631016443
BEL,faba bean,salmon_aquaculture_meat,xpul,0.003614162863926881,2.4596123388612373e-5,0.0036387589873154934
BEL,guar protein,salmon_aquaculture_meat,xpul,0.004905587220607825,3.864128987231818e-5,0.004944228510480143
BEL,pea other,salmon_aquaculture_meat,xpul,0.0028520855933766424,1.6290843848846273e-5,0.0028683764372254886
BEL,pea protein,salmon_aquaculture_meat,xpul,0.0015971679322909198,5.691520106552929e-6,0.0016028594523974727
BEN,oil of coconuts,salmon_aquaculture_meat,cnut,8.993498922985645e-6,-9.841996848346848e-22,8.993498922985644e-6
BEN,maize gluten,salmon_aquaculture_meat,maiz,2.764271497102809e-6,-4.785942305252762e-23,2.764271497102809e-6
BEN,oil of soya bean,salmon_aquaculture_meat,soyb,3.8866037544620745e-7,1.633944159560937e-8,4.049998170418168e-7
BEN,soy protein concentrate,salmon_aquaculture_meat,soyb,2.2384408498355013e-5,1.2363100227048602e-6,2.3620718521059875e-5
BEN,wheat,salmon_aquaculture_meat,whea,0,0,0
BEN,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
BEN,cake of sunflower seed,salmon_aquaculture_meat,xoil,3.000901547372787e-7,3.8103653733554984e-7,6.811266920728285e-7
BEN,oil of linseed,salmon_aquaculture_meat,xoil,1.0303215396742102e-7,2.3173955712146705e-23,1.0303215396742104e-7
BEN,oil of rapeseed,salmon_aquaculture_meat,xoil,1.458301256154267e-6,4.612765675336726e-5,4.7585958009521524e-5
BEN,faba bean,salmon_aquaculture_meat,xpul,2.642479819437423e-5,2.4684687923415897e-5,5.110948611779013e-5
BEN,guar protein,salmon_aquaculture_meat,xpul,3.586699249867715e-5,3.883038978938621e-5,7.469738228806335e-5
BEN,pea other,salmon_aquaculture_meat,xpul,2.0852902615509976e-5,1.6337098941996004e-5,3.7190001557505984e-5
BEN,pea protein,salmon_aquaculture_meat,xpul,1.1677625464685585e-5,5.70055839217293e-6,1.7378183856858515e-5
BES,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
BES,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
BES,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
BES,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
BES,wheat,salmon_aquaculture_meat,whea,0,0,0
BES,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
BES,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
BES,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
BES,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
BES,faba bean,salmon_aquaculture_meat,xpul,0,0,0
BES,guar protein,salmon_aquaculture_meat,xpul,0,0,0
BES,pea other,salmon_aquaculture_meat,xpul,0,0,0
