iso3c_producing,diet,fcr_type,source_ingredient,FAOSTAT_name,FAO_code,total_crop_demand_ms,total_crop_demand_ge,total_crop_demand_econ,GAEZ_category,SPAM_super,tonnes_producing_crop,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ
ALA,plant-dominant,regular,wheat,Wheat,15,3.25719753262474e-5,3.25719753262474e-5,3.25719753262474e-5,Wheat,whea,6090.718458175659,5.347805115261167e-9,5.347805115261167e-9,5.347805115261167e-9
ALA,plant-dominant,regular,wheat gluten,Wheat,15,4.91085166457269e-5,5.47172068555385e-5,1.25450261719422e-4,Wheat,whea,6090.718458175659,8.062844635316844e-9,8.983703192205643e-9,2.0596956267290324e-8
ALB,fish-dominant,efficient,corn gluten meal,Maize (corn),56,8.63018509879361e-5,1.08656218913683e-4,4.56697315550357e-5,Maize,maiz,410507.8589682579,2.1023190933503978e-10,2.6468730510244563e-10,1.1125178375346783e-10
ALB,fish-dominant,efficient,faba beans,"Broad beans and horse beans, dry",181,0.00435635660517258,0.00435635660517258,0.00435635660517258,Pulses,opul,25147.192047245335,1.7323431566387478e-7,1.7323431566387478e-7,1.7323431566387478e-7
ALB,fish-dominant,efficient,soybean meal,Soya beans,236,4.90204257343648e-5,3.70565592569162e-5,4.13769187739524e-5,Soybean,soyb,1.1211929321289062,4.372166852790043e-5,3.305101039707207e-5,3.690436996903508e-5
ALB,fish-dominant,efficient,wheat,Wheat,15,0.00102021368393396,0.00102021368393396,0.00102021368393396,Wheat,whea,230289.5552057028,4.4301344150092655e-9,4.4301344150092655e-9,4.4301344150092655e-9
ALB,fish-dominant,efficient,wheat gluten,Wheat,15,0.00189468255587735,0.00211107450227866,0.00484006520141389,Wheat,whea,230289.5552057028,8.227392485017187e-9,9.167044073679215e-9,2.1017302313561604e-8
ALB,fish-dominant,regular,corn gluten meal,Maize (corn),56,1.12192406284317e-4,1.41253084587787e-4,5.93706510215465e-5,Maize,maiz,410507.8589682579,2.7330148213555194e-10,3.4409349663317714e-10,1.446273188795084e-10
ALB,fish-dominant,regular,faba beans,"Broad beans and horse beans, dry",181,0.00555391136421218,0.00555391136421218,0.00555391136421218,Pulses,opul,25147.192047245335,2.2085612396715143e-7,2.2085612396715143e-7,2.2085612396715143e-7
ALB,fish-dominant,regular,soybean meal,Soya beans,236,6.37265534546742e-5,4.81735270339911e-5,5.37899944061381e-5,Soybean,soyb,1.1211929321289062,5.683816908627052e-5,4.296631351619373e-5,4.797568095974559e-5
ALB,fish-dominant,regular,wheat,Wheat,15,0.00132627778911415,0.00132627778911415,0.00132627778911415,Wheat,whea,230289.5552057028,5.759174739512053e-9,5.759174739512053e-9,5.759174739512053e-9
ALB,fish-dominant,regular,wheat gluten,Wheat,15,0.00246308732264056,0.00274439685296226,0.00629208476183806,Wheat,whea,230289.5552057028,1.0695610230522366e-8,1.1917157295782986e-8,2.73224930076301e-8
ALB,plant-dominant,efficient,canola oil,Rape or colza seed,270,9.32492461528835e-9,1.46955982317404e-8,1.56266279406917e-8,Rapeseed,rape,0.05980091542005539,1.559328072118618e-7,2.4574202800266744e-7,2.6131084835284995e-7
ALB,plant-dominant,efficient,coconut oil,"Coconuts, in shell",249,0.0351442191494767,0.0714697952175872,0.126653297069551,CropsNES,cnut,848839.9628939629,4.140264441563164e-8,8.419701986452682e-8,1.492075097851779e-7
ALB,plant-dominant,efficient,corn gluten meal,Maize (corn),56,1.51028239228888e-5,1.90148383098945e-5,7.99220302213126e-6,Maize,maiz,410507.8589682579,3.6790584133631924e-11,4.632027839292792e-11,1.94690621568569e-11
ALB,plant-dominant,efficient,faba beans,"Broad beans and horse beans, dry",181,0.00784144188931065,0.00784144188931065,0.00784144188931065,Pulses,opul,25147.192047245335,3.1182176819497486e-7,3.1182176819497486e-7,3.1182176819497486e-7
ALB,plant-dominant,efficient,guar meal,Other pulses n.e.c.,211,0.00936616670112105,0.00997954352250424,0.00419862645222668,Pulses,opul,25147.192047245335,3.724537786773309e-7,3.968452423537051e-7,1.669620387174243e-7
ALB,plant-dominant,efficient,linseed oil,Linseed,333,0.467950602856971,0.75496636810352,0.68549664583164,CropsNES,ooil,848839.9628939629,5.512824835220764e-7,8.894095484496298e-7,8.075687712611528e-7
ALB,plant-dominant,efficient,pea flour,"Peas, dry; Peas, green",187,0.00640640677231262,0.00640640677231262,0.00640640677231262,Pulses,opul,25147.192047245335,2.5475634656452186e-7,2.5475634656452186e-7,2.5475634656452186e-7
ALB,plant-dominant,efficient,pea protein concentrate,"Peas, dry; Peas, green",187,0.00367403569110941,0.00455925848571526,0.00786967434602702,Pulses,opul,25147.192047245335,1.461012300779669e-7,1.8130288571183391e-7,3.129444564324261e-7
ALB,plant-dominant,efficient,soy oil,Soya beans,236,1.1726254745051e-6,1.9873949411052e-6,1.93916210784193e-6,Soybean,soyb,1.1211929321289062,1.045873052623097e-6,1.772571770793775e-6,1.7295525616272612e-6
