iso3c_producing,diet,source_ingredient,SPAM_super.x,GAEZ_category,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ,SPAM_super.y,prop_extra_for_system_ms,prop_extra_for_system_ge,prop_extra_for_system_econ,total_prop_ms,total_prop_ge,total_prop_econ
VEN,plant-dominant,linseed oil,ooil,CropsNES,3.046069117286589e-7,4.914364303475531e-7,4.462159360674063e-7,ooil,-4.9311018891979495e-24,2.617273228554588e-21,8.016404479635689e-6,3.046069117286589e-7,4.914364303475557e-7,8.462620415703095e-6
VEN,plant-dominant,pea flour,opul,Pulses,2.2574228512475568e-5,2.2574228512475568e-5,2.2574228512475568e-5,opul,2.431383865049442e-5,2.4315170010775857e-5,2.4313022867490534e-5,4.6888067162969985e-5,4.6889398523251425e-5,4.6887251379966105e-5
VEN,plant-dominant,pea protein concentrate,opul,Pulses,1.294618406257633e-5,1.606543988882961e-5,2.773033828787791e-5,opul,1.1331990020742314e-5,1.4414290156448474e-5,-1.0390750025413685e-4,2.4278174083318643e-5,3.0479730045278083e-5,-7.617716196625894e-5
VEN,plant-dominant,soy oil,soyb,Soybean,1.3596349684100165e-6,2.3043433020319093e-6,2.2484183301154355e-6,soyb,5.3772016997367965e-22,-7.533582343219017e-22,5.818473288001151e-7,1.3596349684100172e-6,2.3043433020319084e-6,2.8302656589155507e-6
VEN,plant-dominant,soy protein concentrate,soyb,Soybean,8.598278456240069e-5,7.413488995282444e-5,7.54814514022611e-5,soyb,1.067462989567943e-6,8.970022447706117e-7,-1.3092288993599572e-5,8.705024755196863e-5,7.503189219759505e-5,6.238916240866153e-5
VNM,fish-dominant,corn gluten meal,maiz,Maize,1.0026885915579001e-6,1.2624103638495185e-6,5.306087677788894e-7,maiz,1.0370512905480173e-6,1.3107841079937724e-6,3.893786229954747e-5,2.0397398821059174e-6,2.573194471843291e-6,3.946847106732636e-5
VNM,fish-dominant,faba beans,opul,Pulses,5.1497329152233015e-5,5.1497329152233015e-5,5.1497329152233015e-5,opul,1.344561734875001e-5,1.3446353594521603e-5,1.3445166218582232e-5,6.494294650098302e-5,6.494368274675462e-5,6.494249537081525e-5
VNM,fish-dominant,soybean meal,soyb,Soybean,6.800971958081784e-4,5.141134875795434e-4,5.740530810939202e-4,soyb,6.483033720739137e-7,4.4905837768444425e-7,-5.1567018149396424e-5,6.807454991802523e-4,5.145625459572279e-4,5.224860629445238e-4
VNM,fish-dominant,wheat,whea,Wheat,3.3283055788108063e-08,3.3283055788108063e-08,3.3283055788108063e-08,whea,8.860656622924559e-22,8.86092688874841e-22,8.864336716422025e-22,3.328305578810895e-8,3.328305578810895e-8,3.328305578810895e-8
VNM,fish-dominant,wheat gluten,whea,Wheat,6.181138932077204e-8,6.88708763062832e-8,1.5790041111344888e-7,whea,8.868834285747428e-22,-3.6991583673540256e-21,-2.1941267620883103e-4,6.181138932077293e-8,6.88708763062795e-8,-2.1925477579771757e-4
VNM,plant-dominant,canola oil,rape,Rapeseed,0.0011580104650374776,0.00182496451654321,0.0019405839119492388,rape,0.0029583025183807484,0.006111506350862703,0.0057172275200476,0.004116312983418226,0.007936470867405912,0.007657811431996838
VNM,plant-dominant,coconut oil,cnut,CropsNES,3.7911811956523623e-7,7.709801220326064e-7,1.3662719213512625e-6,cnut,-6.808326515115944e-24,-4.366459775032549e-23,-6.367440726290504e-6,3.7911811956523623e-7,7.709801220326064e-7,-5.001168804939241e-6
VNM,plant-dominant,corn gluten meal,maiz,Maize,1.7547050352263253e-7,2.2092181367366638e-7,9.285653436130582e-8,maiz,1.6527235749740993e-7,2.1317543567252626e-7,6.797917577878689e-6,3.4074286102004246e-7,4.340972493461926e-7,6.890774112239995e-6
VNM,plant-dominant,faba beans,opul,Pulses,9.269519247401927e-5,9.269519247401927e-5,9.269519247401927e-5,opul,3.200316251314582e-5,3.2004914920080114e-5,3.200208873633814e-5,1.246983549871651e-4,1.247001073940994e-4,1.246972812103574e-4
VNM,plant-dominant,guar meal,opul,Pulses,1.1071925767730081e-4,1.1797010303454602e-4,4.963277068292796e-5,opul,4.0174156442976864e-5,4.346353699964223e-5,2.505555350120382e-4,1.5089341412027768e-4,1.6143364003418824e-4,3.0018830569496615e-4
VNM,plant-dominant,linseed oil,ooil,CropsNES,5.048015204150442e-6,8.144196591565606e-6,7.394792248210697e-6,ooil,-4.931078498961232e-24,2.6172531991804505e-21,8.016348777012556e-6,5.048015204150442e-6,8.14419659156561e-6,1.5411141025223253e-5
VNM,plant-dominant,pea flour,opul,Pulses,7.573136640034253e-5,7.573136640034253e-5,7.573136640034253e-5,opul,2.431254616724387e-5,2.4313877456752415e-5,2.4311730427605666e-5,1.000439125675864e-4,1.0004524385709494e-4,1.000430968279482e-4
VNM,plant-dominant,pea protein concentrate,opul,Pulses,4.3431482417545755e-5,5.3895871299931853e-5,9.302893377393322e-5,opul,1.1331644557173144e-5,1.4413744848872766e-5,-1.0390071505215386e-4,5.47631269747189e-5,6.830961614880462e-5,-1.0871781278220638e-5
VNM,plant-dominant,soy oil,soyb,Soybean,1.62687142144725e-5,2.7572623170048875e-5,2.6903452836319162e-5,soyb,5.3771215305015305e-22,-7.533391982113301e-22,5.818329833018915e-7,1.62687142144725e-5,2.7572623170048875e-5,2.7485285819621055e-5
VNM,plant-dominant,soy protein concentrate,soyb,Soybean,0.0010288271351582415,8.870611347796331e-4,9.031734177836e-4,soyb,1.066456451573819e-6,8.962729940412466e-7,-1.3081451793170411e-5,0.0010298935916098154,8.879574077736743e-4,8.900919659904295e-4
VNM,plant-dominant,wheat,whea,Wheat,3.0905694660385956e-8,3.0905694660385956e-8,3.0905694660385956e-8,whea,-2.0681114693702373e-21,-2.0681745504570993e-21,-2.0689704174024602e-21,3.0905694660383884e-8,3.0905694660383884e-8,3.0905694660383884e-8
VNM,plant-dominant,wheat gluten,whea,Wheat,4.659627810335121e-8,5.1918045215505755e-8,1.1903261760860039e-7,whea,3.0009060818838964e-22,1.777868939504344e-21,-1.6540340849398514e-4,4.659627810335151e-8,5.1918045215507535e-8,-1.6528437587637654e-4
VUT,fish-dominant,corn gluten meal,maiz,Maize,2.7330148213555137e-10,3.4409349663317827e-10,1.4462731887950828e-10,maiz,1.0370523301051298e-6,1.3107857622922713e-6,3.893788295469809e-5,1.0373256315872654e-6,1.3111298557889045e-6,3.8938027582016964e-5
VUT,plant-dominant,coconut oil,cnut,CropsNES,1.018258434892217e-8,2.0707451632599803e-8,3.669615975801241e-8,cnut,-6.808329026950484e-24,-4.3664630510705096e-23,-6.367449192296924e-6,1.0182584348922164e-8,2.070745163259976e-8,-6.3307530325389115e-6
VUT,plant-dominant,corn gluten meal,maiz,Maize,4.7827759373721516e-11,6.021636191080612e-11,2.530978080391395e-11,maiz,1.6527238648993423e-7,2.1317548275480387e-7,6.79791820893776e-6,1.6532021424930796e-7,2.132356991167147e-7,6.797943518718564e-6
VUT,plant-dominant,linseed oil,ooil,CropsNES,1.3558265342170908e-7,2.1874177061999164e-7,1.9861381433446474e-7,ooil,-4.931102722674042e-24,2.617273942271371e-21,8.016406464515331e-6,1.3558265342170908e-7,2.1874177061999426e-7,8.215020278849795e-6
XKO,fish-dominant,corn gluten meal,maiz,Maize,2.7330148213555266e-10,3.440934966331784e-10,1.4462731887950825e-10,maiz,1.0370523301051298e-6,1.3107857622922713e-6,3.893788295469808e-5,1.0373256315872654e-6,1.3111298557889045e-6,3.893802758201696e-5
XKO,fish-dominant,soybean meal,soyb,Soybean,5.683816908627046e-5,4.2966313516193755e-5,4.797568095974557e-5,soyb,6.487077079903359e-7,4.492700590983498e-7,-5.1594161974233404e-5,5.748687679426079e-5,4.3415583575292104e-5,-3.618481014487835e-6
