iso3c_producing,diet,product,animal_system,SPAM_super,prop_produced_for_system,prop_extra_for_system,total_prop
ALB,plant-dominant,pea protein,salmon_aquaculture_meat,xpul,5.233735132226491e-7,2.8488174832156535e-6,3.3721909964383027e-6
AND,fish-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AND,fish-dominant,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
AND,fish-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
AND,fish-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
AND,fish-dominant,soybean meal,salmon_aquaculture_meat,soyb,0,0,0
AND,fish-dominant,wheat,salmon_aquaculture_meat,whea,0,0,0
AND,fish-dominant,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
AND,fish-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
AND,fish-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
AND,fish-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
AND,fish-dominant,faba bean,salmon_aquaculture_meat,xpul,0,0,0
AND,fish-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
AND,fish-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
AND,fish-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
AND,plant-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AND,plant-dominant,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
AND,plant-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
AND,plant-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
AND,plant-dominant,wheat,salmon_aquaculture_meat,whea,0,0,0
AND,plant-dominant,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
AND,plant-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
AND,plant-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
AND,plant-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
AND,plant-dominant,faba bean,salmon_aquaculture_meat,xpul,0,0,0
AND,plant-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
AND,plant-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
AND,plant-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ARE,fish-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ARE,fish-dominant,maize gluten,salmon_aquaculture_meat,maiz,3.2733395669507405e-5,-1.5966306490093879e-22,3.2733395669507405e-5
ARE,fish-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ARE,fish-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ARE,fish-dominant,soybean meal,salmon_aquaculture_meat,soyb,0,0,0
ARE,fish-dominant,wheat,salmon_aquaculture_meat,whea,1.05,0,1.05
ARE,fish-dominant,wheat gluten,salmon_aquaculture_meat,whea,1.05,0,1.05
ARE,fish-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
ARE,fish-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
ARE,fish-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
ARE,fish-dominant,faba bean,salmon_aquaculture_meat,xpul,0,0,0
ARE,fish-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ARE,fish-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
ARE,fish-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ARE,plant-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ARE,plant-dominant,maize gluten,salmon_aquaculture_meat,maiz,5.728344242163793e-6,-2.3931090573628241e-23,5.728344242163793e-6
ARE,plant-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ARE,plant-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ARE,plant-dominant,wheat,salmon_aquaculture_meat,whea,1.05,0,1.05
