iso3c_producing,diet,fcr_type,source_ingredient,FAOSTAT_name,FAO_code,total_crop_demand_ms,total_crop_demand_ge,total_crop_demand_econ,GAEZ_category,SPAM_super,tonnes_producing_crop,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ
ALB,plant-dominant,regular,faba beans,"Broad beans and horse beans, dry",181,0.5019061472582327,0.5019061472582327,0.5019061472582327,Pulses,opul,25147.192047245335,1.9958735206510354e-5,1.9958735206510354e-5,1.9958735206510354e-5
ALB,plant-dominant,regular,guar meal,Other pulses n.e.c.,211,1.0298339396583407,1.2434793328940497,0.0038022474124391067,Pulses,opul,25147.192047245335,4.0952243802152475e-5,4.94480389921014e-5,1.5119968087473255e-7
ALB,plant-dominant,regular,linseed oil,Linseed,333,9.917906103209097e-4,0.0016001016996702359,0.0014528651797679184,CropsNES,ooil,848839.9628939629,1.1684070657318997e-9,1.885045202413639e-9,1.7115890430213057e-9
ALB,plant-dominant,regular,pea flour,"Peas, dry; Peas, green",187,0.20278234897833292,0.20278234897833292,0.20278234897833292,Pulses,opul,25147.192047245335,8.063816771166943e-6,8.063816771166943e-6,8.063816771166943e-6
ALB,plant-dominant,regular,pea protein concentrate,"Peas, dry; Peas, green",187,0.0033271816053845656,0.004128833316609598,0.5085904127879921,Pulses,opul,25147.192047245335,1.3230827517973445e-7,1.6418665387581025e-7,2.0224540848635383e-5
ALB,plant-dominant,regular,soy oil,Soya beans,236,1.5246286014269347e-6,2.5839786320683557e-6,2.5212670854408377e-6,Soybean,soyb,1.1211929321289062,1.3598271606403996e-6,2.3046690342240485e-6,2.2487361569908304e-6
ALB,plant-dominant,regular,soy protein concentrate,Soya beans,236,1.3282814655624913e-4,1.1393680969537371e-4,1.1608388702712323e-4,Soybean,soyb,1.1211929321289062,1.1847037450016459e-4,1.0162105595781094e-4,1.0353604959558983e-4
ALB,plant-dominant,regular,sunflower meal,Sunflower seed,267,0.12285620994594418,0.06585418790590557,0.05095906332971616,Sunflower,sunf,1123.0811549425125,1.0939210350496252e-4,5.863706965083611e-5,4.53743374692496e-5
ALB,plant-dominant,regular,wheat,Wheat,15,0.0012315436613202781,0.0012315436613202781,0.0012315436613202781,Wheat,whea,230289.5552057028,5.347805115261175e-9,5.347805115261175e-9,5.347805115261175e-9
ALB,plant-dominant,regular,wheat gluten,Wheat,15,0.0018567889047598042,0.00206885301223309,0.004743263897385616,Wheat,whea,230289.5552057028,8.06284463531685e-9,8.983703192205642e-9,2.0596956267290383e-8
