Ameerega yungicola
Ameiva alboguttata
Ameiva ameiva
Ameiva atrigularis
Ameiva bifrontata
Ameiva nodam
Ameiva pantherina
Ameiva parecis
Ameiva praesignis
Ameivula abaetensis
Ameivula abalosi
Ameivula confusioniba
Ameivula jalapensis
Ameivula littoralis
Ameivula mumbuca
Ameivula nativo
Ameivula ocellifera
Ameivula pyrrhogularis
Ameivula venetacauda
Amerotyphlops amoipira
Amerotyphlops brongersmianus
Amerotyphlops costaricensis
Amerotyphlops lehneri
Amerotyphlops microstomus
Amerotyphlops minuisquamus
Amerotyphlops paucisquamus
Amerotyphlops reticulatus
Amerotyphlops stadelmani
Amerotyphlops tenuis
Amerotyphlops trinitatus
Amerotyphlops yonenagae
Ametrida centurio
Amietia angolensis
Amietia chapini
Amietia delalandii
Amietia desaegeri
Amietia dracomontana
Amietia fuscigula
Amietia hymenopus
Amietia johnstoni
Amietia moyerorum
Amietia nutti
Amietia poyntoni
Amietia ruwenzorica
Amietia tenuoplicata
Amietia vandijki
Amietia vertebralis
Amietia wittei
Ammodillus imbellis
Ammodorcas clarkei
Ammodramus aurifrons
Ammodramus savannarum
Ammomanes cinctura
Ammomanes deserti
Ammomanes phoenicura
Ammomanopsis grayi
Ammonastes pelzelni
Ammoperdix griseogularis
Ammoperdix heyi
Ammospermophilus harrisii
Ammospermophilus interpres
Ammospermophilus leucurus
Ammospermophilus nelsoni
Ammospiza caudacuta
Ammospiza leconteii
Ammotragus lervia
Amnirana albolabris
Amnirana amnicola
Amnirana asperrima
Amnirana darlingi
Amnirana galamensis
Amnirana lemairei
Amnirana lepus
Amnirana longipes
Amnirana occidentalis
Amnirana parkeriana
Amolops albispinus
Amolops aniqiaoensis
Amolops archotaphus
Amolops assamensis
Amolops bellulus
Amolops chunganensis
Amolops compotrix
Amolops cremnobatus
Amolops cucae
Amolops daiyunensis
Amolops formosus
Amolops gerbillus
Amolops granulosus
Amolops hainanensis
Amolops hongkongensis
Amolops iriodes
Amolops jaunsari
Amolops jinjiangensis
Amolops lifanensis
Amolops loloensis
Amolops mantzorum
Amolops marmoratus
Amolops medogensis
Amolops minutus
Amolops monticola
Amolops nyingchiensis
Amolops panhai
Amolops spinapectoralis
Amolops splendissimus
Amolops torrentis
Amolops tuberodepressus
Amolops viridimaculatus
Amolops vitreus
Amolops wuyiensis
Amolops xinduqiao
Amorphochilus schnablii
Ampeliceps coronatus
Ampelioides tschudii
Ampelion rubrocristatus
Ampelion rufaxilla
Ampelornis griseiceps
Amphibolurus burnsi
Amphibolurus muricatus
Amphibolurus norrisi
Amphiesma stolatum
Amphiesmoides ornaticeps
Amphiglossus alluaudi
Amphiglossus andranovahensis
Amphiglossus anosyensis
Amphiglossus ardouini
Amphiglossus astrolabi
Amphiglossus crenni
Amphiglossus decaryi
Amphiglossus frontoparietalis
Amphiglossus gastrostictus
Amphiglossus johannae
Amphiglossus macrocercus
Amphiglossus mandokava
Amphiglossus melanurus
Amphiglossus meva
Amphiglossus ornaticeps
Amphiglossus punctatus
Amphiglossus reticulatus
Amphiglossus spilostichus
Amphiglossus splendidus
Amphiglossus stylus
Amphiglossus tanysoma
Amphiglossus tsaratananensis
Amphisbaena absaberi
Amphisbaena acrobeles
Amphisbaena alba
Amphisbaena albocingulata
Amphisbaena anaemariae
Amphisbaena angustifrons
Amphisbaena anomala
Amphisbaena arda
Amphisbaena bakeri
Amphisbaena barbouri
Amphisbaena bedai
Amphisbaena bilabialata
Amphisbaena bolivica
Amphisbaena borelli
Amphisbaena brasiliana
Amphisbaena brevis
Amphisbaena caeca
Amphisbaena caiari
Amphisbaena carlgansi
Amphisbaena carli
Amphisbaena caudalis
Amphisbaena cegei
Amphisbaena crisae
Amphisbaena cubana
Amphisbaena cuiabana
Amphisbaena cunhai
Amphisbaena darwini
Amphisbaena dubia
Amphisbaena fenestrata
Amphisbaena fuliginosa
Amphisbaena gracilis
Amphisbaena hastata
Amphisbaena heterozonata
Amphisbaena hiata
Amphisbaena hogei
Amphisbaena hyporissor
Amphisbaena ibijara
Amphisbaena innocens
Amphisbaena kingii
Amphisbaena kraoh
Amphisbaena leeseri
Amphisbaena leucocephala
Amphisbaena lumbricalis
Amphisbaena manni
Amphisbaena maranhensis
Amphisbaena medemi
Amphisbaena mertensii
Amphisbaena miringoera
Amphisbaena mitchelli
Amphisbaena munoai
Amphisbaena nigricauda
Amphisbaena occidentalis
Amphisbaena pericensis
Amphisbaena plumbea
Amphisbaena pretrei
Amphisbaena prunicolor
Amphisbaena roberti
Amphisbaena sanctaeritae
Amphisbaena saxosa
Amphisbaena schmidti
Amphisbaena silvestrii
Amphisbaena slateri
Amphisbaena slevini
Amphisbaena steindachneri
Amphisbaena stejnegeri
Amphisbaena talisiae
Amphisbaena trachura
Amphisbaena uroxena
Amphisbaena vanzolini
Amphisbaena vermicularis
Amphisbaena xera
Amphispiza bilineata
Amphispiza quinquestriata
Amphiuma means
Amphiuma pholeter
Amphiuma tridactylum
Amplorhinus multimaculatus
Amytornis ballarae
Amytornis barbatus
Amytornis dorotheae
Amytornis goyderi
Amytornis housei
Amytornis merrotsyi
Amytornis modestus
Amytornis purnelli
Amytornis striatus
Amytornis textilis
Amytornis woodwardi
Anabacerthia amaurotis
Anabacerthia lichtensteini
Anabacerthia ruficaudata
Anabacerthia striaticollis
Anabacerthia variegaticeps
Anabathmis hartlaubii
Anabathmis newtonii
Anabathmis reichenbachii
Anabazenops dorsalis
Anabazenops fuscus
Anadia antioquensis
Anadia bitaeniata
Anadia blakei
Anadia bogotensis
Anadia brevifrontalis
Anadia escalerae
Anadia hobarti
Anadia marmorata
Anadia ocellata
Anadia pamplonensis
Anadia pariaensis
Anadia pulchella
Anadia rhombifera
Anadia steyeri
Anadia vittata
Anairetes alpinus
Anairetes flavirostris
Anairetes nigrocristatus
Anairetes parulus
Anairetes reguloides
Anaplectes jubaensis
Anaplectes leuconotos
Anaplectes rubriceps
Anas albogularis
Anas andium
Anas carolinensis
Anas crecca
Anas erythrorhyncha
Anas flavirostris
Anas gibberifrons
Anas melleri
Anas platyrhynchos
Anas poecilorhyncha
Anas zonorhyncha
Anastomus lamelligerus
Anastomus oscitans
Anathana ellioti
Anatololacerta anatolica
Anatololacerta danfordi
Anatololacerta oertzeni
Anaxyrus americanus
Anaxyrus baxteri
Anaxyrus californicus
Anaxyrus canorus
Anaxyrus cognatus
Anaxyrus compactilis
Anaxyrus debilis
