Ara rubrogenys
Ara severus
Arabitragus jayakari
Arachnothera affinis
Arachnothera chrysogenys
Arachnothera clarae
Arachnothera crassirostris
Arachnothera dilutior
Arachnothera flammifera
Arachnothera flavigaster
Arachnothera hypogrammica
Arachnothera juliae
Arachnothera longirostra
Arachnothera magna
Arachnothera modesta
Arachnothera robusta
Aramides albiventris
Aramides axillaris
Aramides cajaneus
Aramides calopterus
Aramides mangle
Aramides saracura
Aramides wolfi
Aramides ypecaha
Aramidopsis plateni
Aramus guarauna
Aratinga auricapillus
Aratinga jandaya
Aratinga maculata
Aratinga nenday
Aratinga solstitialis
Aratinga weddellii
Arborimus albipes
Arborimus longicaudus
Arborimus pomo
Arborophila ardens
Arborophila atrogularis
Arborophila brunneopectus
Arborophila cambodiana
Arborophila campbelli
Arborophila charltonii
Arborophila chloropus
Arborophila crudigularis
Arborophila davidi
Arborophila gingica
Arborophila graydoni
Arborophila hyperythra
Arborophila javanica
Arborophila mandellii
Arborophila orientalis
Arborophila rolli
Arborophila rubrirostris
Arborophila rufipectus
Arborophila rufogularis
Arborophila sumatrana
Arborophila tonkinensis
Arborophila torqueola
Arcanator orostruthus
Archboldia papuensis
Archboldomys maximus
Archilochus alexandri
Archilochus colubris
Arctictis binturong
Arctocebus aureus
Arctocebus calabarensis
Arctogalidia trivirgata
Arctonyx albogularis
Arctonyx collaris
Arctonyx hoevenii
Ardea alba
Ardea brachyrhyncha
Ardea cocoi
Ardea goliath
Ardea herodias
Ardea humbloti
Ardea insignis
Ardea intermedia
Ardea melanocephala
Ardea pacifica
Ardea plumifera
Ardea purpurea
Ardea sumatrana
Ardenna bulleri
Ardenna carneipes
Ardenna creatopus
Ardenna gravis
Ardenna grisea
Ardenna tenuirostris
Ardeola bacchus
Ardeola grayii
Ardeola idae
Ardeola ralloides
Ardeola rufiventris
Ardeola speciosa
Ardeotis arabs
Ardeotis australis
Ardeotis kori
Ardeotis nigriceps
Ardops nichollsi
Arenaria interpres
Arenaria melanocephala
Argusianus argus
Argya altirostris
Argya aylmeri
Argya caudata
Argya earlei
Argya fulva
Argya malcolmi
Argya rubiginosa
Argya squamiceps
Argya subrufa
Arielulus aureocollaris
Arielulus circumdatus
Arielulus cuprosus
Arielulus societatis
Arielulus torquatus
Ariteus flavescens
Arizelocichla chlorigula
Arizelocichla fusciceps
Arizelocichla masukuensis
Arizelocichla milanjensis
Arizelocichla montana
Arizelocichla neumanni
Arizelocichla nigriceps
Arizelocichla striifacies
Arizelocichla tephrolaema
Arremon abeillei
Arremon assimilis
Arremon atricapillus
Arremon aurantiirostris
Arremon axillaris
Arremon basilicus
Arremon brunneinucha
Arremon castaneiceps
Arremon costaricensis
Arremon crassirostris
Arremon dorbignii
Arremon flavirostris
Arremon franciscanus
Arremon nigriceps
Arremon perijanus
Arremon phaeopleurus
Arremon phygas
Arremon schlegeli
Arremon semitorquatus
Arremon taciturnus
Arremon torquatus
Arremon virenticeps
Arremonops chloronotus
Arremonops conirostris
Arremonops rufivirgatus
Arremonops tocuyensis
Arses insularis
Arses kaupi
Arses lorealis
Arses telescopthalmus
Artamella viridis
Artamus cinereus
Artamus cyanopterus
Artamus fuscus
Artamus insignis
Artamus leucoryn
Artamus maximus
Artamus mentalis
Artamus minor
Artamus monachus
Artamus personatus
Artamus superciliosus
Artemisiospiza belli
Artemisiospiza nevadensis
Artibeus aequatorialis
Artibeus amplus
Artibeus concolor
Artibeus fimbriatus
Artibeus fraterculus
Artibeus hirsutus
Artibeus inopinatus
Artibeus jamaicensis
Artibeus lituratus
Artibeus obscurus
Artibeus planirostris
Artibeus schwartzi
Artisornis metopias
Artisornis moreaui
Artisornis sousae
Arundinax aedon
Arundinicola leucocephala
Arvicanthis abyssinicus
Arvicanthis ansorgei
Arvicanthis blicki
Arvicanthis nairobae
Arvicanthis neumanni
Arvicanthis niloticus
Arvicanthis rufinus
Arvicola amphibius
Arvicola sapidus
Arvicola scherman
Asarcornis scutulata
Asellia italosomalica
Asellia patrizii
Asellia tridens
Aselliscus stoliczkanus
Aselliscus tricuspidatus
Asemospiza fuliginosa
Asemospiza obscura
Ashbyia lovensis
Asio abyssinicus
Asio capensis
Asio clamator
Asio flammeus
Asio madagascariensis
Asio otus
Asio stygius
Aspatha gularis
Asthenes anthoides
Asthenes arequipae
Asthenes ayacuchensis
Asthenes baeri
Asthenes berlepschi
Asthenes coryi
Asthenes dorbignyi
Asthenes flammulata
Asthenes fuliginosa
Asthenes griseomurina
Asthenes harterti
Asthenes helleri
Asthenes heterura
Asthenes huancavelicae
Asthenes hudsoni
Asthenes humilis
Asthenes luizae
Asthenes maculicauda
Asthenes modesta
Asthenes moreirae
Asthenes ottonis
Asthenes palpebralis
Asthenes perijana
Asthenes pudibunda
Asthenes pyrrholeuca
Asthenes urubambensis
Asthenes usheri
Asthenes vilcabambae
Asthenes virgata
Asthenes wyatti
Astrapia mayeri
Astrapia nigra
Astrapia rothschildi
Astrapia splendidissima
Astrapia stephaniae
Atalotriccus pilaris
Atelerix albiventris
Atelerix algirus
Atelerix frontalis
Atelerix sclateri
Ateles belzebuth
Ateles chamek
Ateles fusciceps
Ateles geoffroyi
Ateles hybridus
Ateles marginatus
Ateles paniscus
Atelocynus microtis
Atelornis crossleyi
Atelornis pittoides
Athene brama
Athene cunicularia
